,Name,Distance(light-years),Mass,Radius,Gravity
0,Sun,0.000015813,1,1,274.2691614595739
1,Sirius,0008.6,2.1,1.71,196.971799550325
2,Canopus,0310,15,71,0.8161153386021839
3,Alpha Centauri,0004.4,1.1,1.2,209.51116500384123
4,Arcturus,0037,1.1,26,0.44629597278924754
5,Vega,0025,2.2,2.7,82.76984296448046
6,Capella,0043,2.6,12,4.952082081908975
7,Rigel,0860,23,78.9,1.01332978543217
8,Procyon,0011.4,1.5,1.9,113.9622554541166
9,Betelgeuse,0640,20,950,0.006077986957552885
10,Achernar,0144,6.7,9.3,21.2464259657665
11,Hadar,0390,10.5,8.6,38.937617567949246
12,Altair,0017,1.8,1.8,152.37175636642996
13,Acrux,0320,18,8.9,62.326030883377484
14,Aldebaran,0065,1.5,44,0.21250193294905007
15,Antares,0600,12,680,0.0071177118025840995
16,Spica,0260,11.43,7.47,56.18003500809
17,Pollux,0034,1.9,8.8,6.729227876719916
18,Fomalhaut,0025,1.9,1.8,160.8368539423427
19,Deneb,"2,600",19,203,0.12645572733460908
20,Mimosa,0350,16,8.4,62.19255361895101
21,Regulus,0077,3.8,3.1,108.45190567600218
22,Adhara,0430,12.5,14,17.491655705329972
23,Shaula,0700,14.5,8.8,51.354633796020416
24,Castor,0052,2.8,2.4,133.3252868206262
25,Gacrux,0088,1.5,84,0.058305519017766566
26,Bellatrix,0240,8.6,5.8,70.11637302474244
27,Elnath,0130,5.0,4.2,77.74069202368877
28,Miaplacidus,0110,3.5,6.8,20.759992757536956
29,Alnilam,"2,000",32,42,4.975404289516081
30,Gamma Velorum,"01,100",9.0,6,68.56729036489348
31,Alnair,0101,4.0,3.4,94.90282403445465
32,Alioth,0081,2.9,4.2,45.08960137373948
33,Alnitak,01050,33,20,22.62720582041485
34,Dubhe,0120,4.25,30,1.2951599291146547
35,Mirfak,0590,8.5,68,0.5041712526830403
36,Wezen,"1,600",17,200,0.11656439362031894
37,Sargas,0270,5.7,26,2.3126245862715553
38,Kaus Australis,0140,3.5,6.8,20.759992757536956
39,Avior,0630,9.0,130,0.14606050018557193
40,Alkaid,0104,6.1,3.4,144.72680665254333
41,Menkalinan,081,2.39,2.77,85.43097080483021
42,"Atria
",0390,7,92,0.22682941046987445
43,Alhena,0109,2.8,3.3,70.51915997124031
44,"Peacock
",0180,5.9,4.8,70.23385645015132
45,[2],0080,2.4,2.9,78.26943965552645
46,Mirzam,0500,13.5,10,37.02633679704249
47,Polaris,0430,5.4,39,0.973736667903813
48,Alphard,0180,3.0,50,0.32912299375148873
49,Mintaka,01200,24,16.5,24.17799770442525
50,Scheat,0196,2.1,95,0.0638188630543053
51,Almaaz,0653,15,140,0.20989986846395964
52,Rasalgethi,0360,2.8,280,0.009795327194984781
53,Tau Ceti,011.9,0.783,0.893,269.29967110479345
54,Delta Pavonis,019.92,0.991,1.22,182.61269753187165
55,Ran,010.48,0.82,0.74,410.70254272616984
56,V382 Carinae,"08,900",20,485,0.023319728894426524
57,Eta Carinae,"07,500",100,60 - 881,-
58,Delta Cephei,0887,4.5,44.5,0.6232603088337749
59,Mu Cephei,"06,000",19.2,972,0.005573726798954914
60,Titawin,044.25,1.27,1.48,159.02202111653529
61,Rho Cassiopeiae,"08,154",22,636-981,-
62,P Cygni,"05,545",30,76,1.4245281931764575
63,La Superba,"01,000",,129 - 342,-
64,VV Cephei,"04,900",18.2,"516 - 1,050",-
65,61 Cygni,011.41,0.7,0.665,434.1419255394917
66,R Doradus,0178,0.7 - 1.0,298,-
67,Polaris Australis,0281,1.59,3.74,31.176754176608036
68,R Coronae Borealis,"04,566",0.85,85,0.032266960171714584
69,54 Piscium,036.1,0.76,0.94,235.9037604224493
70,Mira,0300,1.2,370,0.00240411244522636
71,RW Cephei,"014,000",13.9,"1,158",-
72,Lacaille 8760,012.87,0.6,0.51,632.685493563031
73,V838 Monocerotis,"019,896",?,380 - 750,-
74,HD 140283,0202,0.81,2.04,53.38283851938075
75,II Pegasi,0130,0.8,3.4,18.98056480689093
76,VY Canis Majoris,"03,900",17,"1,420",-
77,Pistol Star,"025,000",100,320,0.2678409779878652
78,S Doradus,"0169,000",24,380,0.04558490218164664
79,UY Scuti,"05,100",7 - 10,755,-
80,Barnard's Star,05.98,0.14,0.20,959.9420651085089
81,HE 1523-0901,"010,000",0.80,27,0.30098124714356533
82,Proxima Centauri,04.25,0.12,0.15,1462.7688611177277
83,KIC 8462852,"01,470",1.43,1.58,157.10819615734286
84,R136a1,"0163,000",290,32,77.67388361648091
85,Melnick 42,"0163,000",189,21.1,116.4324060911917
86,WR 102,"018,134",19,0.39,34261.104981800825
87,VFTS 352,"0164,000",57.48,14.47,75.29335961731135
88,YBP 1194,"02,772",1.01,0.99,282.6363157577489
89,Gliese 1214,047.5,0.16,0.21,995.0808579032163
90,Luhman 16,06.50,0.03 + 0.03,?,-
91,NML Cygni,"05,251",50,"1,640 - 2,770",-
92,VB 10,018.72,0.075,0.10,2057.0187109468043
93,WOH G64,"0163,000",<20,"1,540 - 1,730",-
94,TRAPPIST-1,039.6,0.089,0.12,1695.1357895765334
95,2MASS J0523-1403,040.3,0.07,0.086,2595.841171196618
96,,,,,
97,Icarus,"014,400,000,000",33,?,-
98,SDSS J000013.54+255418.6,46.1,0.045820224,0.10193337,1209.4876037316685
99,2MASS J08283419-1309198,,,,
100,2MASS J00040288-6410358,192.0,0.018137172,0.16782968999999998,176.60742789161216
101,LHS 102BC,,,,
102,2MASS J00242463-0158201,37.7,0.075412452,0.11222967,1642.1191614232685
103,2MASS J00250365+4759191AB,143.0,,,
104,2MASS J00274197+0503417,236.0,0.029592228,0.14826672,369.2047527341708
105,2MASS J00275592+2219328,46.9,,,
106,2MASSW J0030300-145033,87.2,0.051547752,0.10090373999999999,1388.5840800391345
107,2MASS J00332386-1521309,131.0,0.027683052,0.14723709,350.2325420569145
108,2MASS J00345157+0523050,31.0,0.040092696000000004,0.09678521999999999,1173.8812249493355
109,2MASS 0036+1821,28.6,0.040092696000000004,0.09678521999999999,1173.8812249493355
110,2MASSW J0045214+163445,57.0,0.021955524,0.16680006,216.43544246304234
111,WISEP J004701.06+680352.1,40.0,0.011455056,0.1338519,175.3578107126344
112,2MASS J00501994-3322402,34.0,0.03818352,0.09678521999999999,1117.982118999367
113,2MASS J00034227-2822410,,,,
114,2MASS J00584253-0651239,96.0,0.027683052,0.14723709,350.2325420569145
115,CFBDS J005910.90Â–011401.3,30.0,0.021955524,,
116,2MASSI J0103320+193536,70.0,0.049638576000000004,0.10090373999999999,1337.155040037685
117,SDSSp J010752.33+004156.1,51.0,0.049638576000000004,0.10090373999999999,1337.155040037685
118,2MASSI J0117474-340325,163.0,0.01909176,0.16680006,188.20473257655854
119,2MASS J01415823-4633574,130.0,0.01909176,0.16577043,190.54994027002056
120,SDSS J015141.69+124429.6,70.0,0.044865636,0.09987411,1233.6301152181024
121,,,,,
122,,,,,
123,,,,,
124,SDSS J020742.48+000056.2,111.0,0.044865636,0.09987411,1233.6301152181024
125,2MASS J02103857-3015313,101.0,0.014318820000000001,0.15753339,158.24826995191606
126,2MASS J02340093-6442068,155.0,0.01909176,0.16680006,188.20473257655854
127,2MASS J02411151-0326587,152.0,0.025773876,0.14517782999999998,335.3946356998102
128,,,,,
129,LP 771-21,53.0,0.074457864,0.11120004,1651.4965283593015
130,2MASS J02511327+0047364,,,,
131,2MASS J02535980+3206373,184.0,0.06204822,0.1956297,444.66887134771224
132,WISE J0254+0223,24.0,0.06204822,0.1956297,444.66887134771224
133,DEN 0255-4700,16.2,0.07636704,0.09987411,2099.79594079677
134,2MASS J03185403-3421292,45.0,0.046774812,0.09987411,1286.1250137380216
135,2MASS J03205965+1854233,47.0,0.084003744,0.11840744999999998,1643.3026848886577
136,2MASS J03231002-4631237,192.0,0.021955524,0.17091858,206.13048889534343
137,SDSS J032553.17+042540.1,59.0,0.04295646,0.09781485,1231.390720655203
138,2MASS J03264225-2102057,80.0,0.017182584,0.1338519,263.03671606895165
139,2MASS J03284265+2302051,98.0,0.051547752,0.10090373999999999,1388.5840800391345
140,2MASS J03341218-4953322,27.0,0.069684924,0.10708152,1666.8125237008217
141,LP 944-20,20.9,0.069684924,0.14723709,881.6198472467156
142,2MASP J0345432+254023,88.0,0.070639512,0.10811115,1657.615102624494
143,Teide 1,380.0,0.05250234,0.38920013999999997,95.06259451571071
144,2MASS J03510004-0052452,48.0,0.09736797600000001,0.13076301,1561.7923931347218
145,2MASS J03552337+1133437,29.8,0.01909176,0.13591116,283.4736571246098
146,DENIS-P J035726.9-441730,130.0,,,
147,,,,,
148,SDSSp J042348.57-041403.5,50.0,,,
149,2MASS J04285096-2253227,85.0,0.07636704,0.11222967,1662.905479922297
150,2MASS J04351612-1606574,34.0,0.0954588,0.12973338,1555.5697284389023
151,2MASS J04362788-4114465,142.0,0.037228932,0.20283711,248.17768438742164
152,2MASS J04390101-2353083,29.5,0.045820224,0.09987411,1259.877564478062
153,2MASS J04414489+2301513,470.0,0.018137172,,
154,2MASS J04433764+0002040,82.0,0.021000936,0.18327414,171.47991105646773
155,2MASS J04455387-3048204,42.0,0.061093632,0.102963,1580.5584005565452
156,2MASS J04510093-3402150,69.0,0.068730336,0.10708152,1643.9794754309478
157,2MASS J05002100+0330501,44.0,0.061093632,0.102963,1580.5584005565452
158,2MASS J05012406-0010452,64.0,0.020046348000000002,0.14208894,272.3276229692378
159,2MASS J05160945-0445499,73.0,0.044865636,0.09987411,1233.6301152181024
160,,,,,
161,2MASS 0532+8246,81.0,0.079230804,,
162,SDSS J053951.99-005902.0,41.62,0.058229868000000004,0.10399263,1476.7863204886353
163,2MASS J05591914-1404488,34.0,,,
164,LSR 0602+3910,34.6,0.026728464,0.14517782999999998,347.81665924424755
165,2MASS J06085283-2753583,102.0,0.036274344,0.15547413,411.5856981406292
166,WISEP J061135.13-041024.0A,69.0,0.06204822,,
167,WISEP J061135.13-041024.0B,69.0,0.050593164,,
168,2MASS J06244595-4521548,39.0,0.053456928,0.10193337,1411.06887102028
169,2MASS J06411840-4322329,65.0,0.063957396,0.10399263,1622.04399135637
170,DENIS-P J0652197-253450,51.0,0.07159410000000001,0.10811115,1680.0153067140143
171,2MASS J07003664+3157266,40.0,,,
172,2MASS J07075327-4900503,60.0,0.068730336,0.10605189,1676.056367825538
173,UGPS J072227.51-054031.2,13.4,0.024819288000000002,0.10090373999999999,668.5775200188425
174,2MASSI J0727182+171001,29.6,0.039138108,0.09678521999999999,1145.931671974351
175,2MASS J07290002-3954043,25.8,0.035319756,0.09678521999999999,1034.1334600744144
176,SDSS J074201.41+205520.5,49.0,0.041047284,0.09678521999999999,1201.8307779243196
177,2MASS J0746425+200032,49.6,,,
178,DENIS-P J0751164-253043,55.0,0.067775748,0.10605189,1652.7778071612943
179,2MASS J07522390+1612157,60.0,0.064911984,0.20695562999999997,415.6687459694882
180,DENIS J081730.0-615520,16.1,0.042001872,0.09678521999999999,1229.7803308993039
181,,,,,
182,,,,,
183,2MASS J08251968+2115521,35.0,0.049638576000000004,0.10090373999999999,1337.155040037685
184,SDSSp J083008.12+482847.4,43.0,0.045820224,0.10193337,1209.4876037316685
185,LHS 2021,55.0,0.084003744,0.11840744999999998,1643.3026848886577
186,SDSS J083048.80+012831.1,77.0,0.043911048,0.09884448,1232.6674809027957
187,2MASSI J0835425-081923,23.53,0.059184456,0.102963,1531.1659505391533
188,2MASSI J0847287-153237,43.0,0.061093632,0.102963,1580.5584005565452
189,2MASS J08533619-0329321,27.6,0.073503276,0.11017041000000001,1660.939231085329
190,2MASSI J0859254-194926,50.0,0.0477294,0.10090373999999999,1285.7260000362355
191,2MASSW J0920122+351742,95.0,,,
192,2MASSI J0937347+293142,20.0,0.040092696000000004,0.09678521999999999,1173.8812249493355
193,,,,,
194,2MASS J09490860-1545485,59.0,0.046774812,0.09884448,1313.0588383529782
195,2MASS J10073369-4555147,46.0,0.042001872,0.09678521999999999,1229.7803308993039
196,2MASSI J1010148-040649,55.0,0.048683988000000004,0.10090373999999999,1311.4405200369604
197,2MASSI J1017075+130839,108.0,,,
198,SDSS J102109.69-030420.1,95.0,,,
199,2MASS J10224821+5825453,60.0,0.025773876,0.14517782999999998,335.3946356998102
200,2MASSW J1036530-344138,53.0,0.046774812,0.09987411,1286.1250137380216
201,2MASS J1047538+212423,34.4,0.040092696000000004,0.09678521999999999,1173.8812249493355
202,Luhman 16,6.516,0.041047284,0.10502226,1020.7013411898581
203,Luhman 16,6.516,0.03818352,0.10399263,968.3844724515641
204,,,,,
205,TWA 28,180.0,0.034365168,0.24608157,155.6457520549459
206,Cha 110913-773444,163.0,0.007636704,0.1853334,60.97833335480496
207,OTS 44,554.0,0.014318820000000001,,
208,SDSS J111010.01+011613.1,63.0,0.008591292,0.12767412,144.5538664660927
209,,,,,
210,TWA 26,137.0,0.028637640000000002,0.22651860000000001,153.07577484728932
211,2MASSW J1146345+223053,89.0,,,
212,2MASS J11544223-3400390,129.0,0.035319756,0.15444449999999998,406.11570014300116
213,2MASSW J1155395-372735,31.0,0.061093632,0.102963,1580.5584005565452
214,TWA 27A,,,,
215,TWA 27B,,,,
216,2MASS J12074836-3900043,217.0,0.016227996,0.17606673,143.57779321768484
217,2MASSI J1217110-031113,36.0,0.040092696000000004,0.09678521999999999,1173.8812249493355
218,2MASS J12255432-2739466,43.0,,,
219,DENIS-P J1228.2-1547,66.0,,,
220,2M 1237+6526,45.6,0.039138108,0.09678521999999999,1145.931671974351
221,2MASSW J1239272+551537,119.0,,,
222,TWA 29,262.0,0.0238647,0.205926,154.35140630435012
223,SDSSp J125453.90-012247.4,38.0,0.044865636,0.10090373999999999,1208.5824400340616
224,Kelu-1,61.0,0.060139044,0.10090373999999999,1620.0147600456569
225,Kelu-1,61.0,0.055366104,0.10090373999999999,1491.4421600420333
226,2MASS J13204427+0409045,101.0,0.063957396,0.10399263,1622.04399135637
227,SDSSp J132629.82-003831.5,65.0,0.048683988000000004,0.09987411,1338.6199122579408
228,SDSSp J134646.45-003150.4,48.0,0.042001872,0.09678521999999999,1229.7803308993039
229,2MASS J13595510-4034582,51.0,0.060139044,0.102963,1555.8621755478491
230,ULAS J141623.94+134836.3,29.7,0.030546816,0.09884448,857.5078128019449
231,SDSS J141659.78+500626.4,149.0,0.056320692,0.10193337,1486.6618462535093
232,DENIS-P J142527.97-365023.4,38.0,0.020046348000000002,0.13591116,297.6473399808404
233,LHS 2924,38.5,0.072548688,0.10914078,1670.4459778042874
234,2MASS J14392837+1929150,47.0,0.068730336,0.10605189,1676.056367825538
235,LSPM J1440+1339,72.0,0.087822096,0.12252597,1604.4436839206505
236,2MASS J14482563+1031590,47.0,0.056320692,0.10193337,1486.6618462535093
237,CFBDSIR 1458+10,104.0,0.0105959268,0.15444449999999998,121.83471004290037
238,CFBDSIR 1458+10,104.0,0.008591292,0.1338519,131.51835803447582
239,TVLM 513-46546,35.1,0.07159410000000001,0.10811115,1680.0153067140143
240,2MASS 1503+2525,20.7,0.042001872,0.09678521999999999,1229.7803308993039
241,CFBDS J150411+102717,71.0,0.042001872,0.09678521999999999,1229.7803308993039
242,2MASSW J1506544+132106,46.0,0.065866572,0.10502226,1637.8695940023304
243,,,,,
244,TVLM 868-110639,53.0,0.075412452,0.11120004,1672.6695607741644
245,SDSS J151114.66+060742.9,89.0,,,
246,2MASSW J1515008+484742,34.0,0.054411516,0.10193337,1436.2665294313567
247,2MASSI J1526140+204341,67.0,0.051547752,0.10090373999999999,1388.5840800391345
248,DENIS-P J153941.96-052042.4,51.0,0.060139044,0.102963,1555.8621755478491
249,2MASS J15462718-3325111,37.0,0.042001872,0.09678521999999999,1229.7803308993039
250,2MASSW J1552591+294849,68.0,0.028637640000000002,0.14723709,362.3095262657736
251,2MASSW J1555157-095605,44.0,0.067775748,0.10605189,1652.7778071612943
252,2MASS J16150413+1340079,48.0,0.040092696000000004,0.09678521999999999,1173.8812249493355
253,SDSSp J162414.37+002915.6,36.0,0.041047284,0.09678521999999999,1201.8307779243196
254,2MASS J16262034+3925190,110.0,0.067775748,0.10605189,1652.7778071612943
255,2MASSW J1632291+190441,50.0,0.046774812,0.09987411,1286.1250137380216
256,WISEPA J164715.59+563208.2,28.0,0.039138108,0.09678521999999999,1145.931671974351
257,LSPM J1658+7027,60.0,0.069684924,0.10708152,1666.8125237008217
258,2MASSI J1726000+153819,114.0,0.022910112,0.14414819999999998,302.4027552085227
259,2MASSW J1728114+394859,79.0,,,
260,SDSSp J175032.96+175903.9,90.0,0.044865636,0.09987411,1233.6301152181024
261,2MASS J18283572-4849046,39.0,0.04295646,0.09781485,1231.390720655203
262,LSR J1835+3259,18.5,0.073503276,0.11017041000000001,1660.939231085329
263,2MASSW J1841086+311727,138.0,0.063957396,0.10399263,1622.04399135637
264,2MASS J18432213+4040209,46.0,0.091640448,0.12561486,1592.8766466237687
265,2MASS J20004841-7523070,105.0,0.0238647,0.19357043999999998,174.6847060936511
266,SDSS J204749.61-071818.3,65.0,0.043911048,0.09884448,1232.6674809027957
267,2MASSI J2057540-025230,47.0,0.06682116,0.10502226,1661.6068344951182
268,2MASSW J2101154+175658,108.0,,,
269,2MASSI J2104149-103736,62.0,0.065866572,0.10502226,1637.8695940023304
270,,,,,
271,HB 2124-4228,113.0,0.089731272,0.12458522999999999,1585.5782739002975
272,2MASS J21392676+0220226,32.1,0.043911048,0.09884448,1232.6674809027957
273,2MASS J21481628+4003593,26.3,0.05250234,0.10193337,1385.8712126092037
274,2MASS J14112131-2119503,,,,
275,2MASSW J2206450-421721,93.0,0.021000936,0.13694079,307.149612861842
276,2MASSW J2208136+292121,154.0,0.025773876,0.14517782999999998,335.3946356998102
277,2MASSW J2224438-015852,38.0,0.058229868000000004,0.10193337,1537.0571630756622
278,2MASS J22282889-4310262,35.0,0.040092696000000004,0.09678521999999999,1173.8812249493355
279,2MASS J22373255+3922398,64.0,0.069684924,0.10708152,1666.8125237008217
280,2MASSW J2244316+204343,56.0,0.011455056,0.13282227,178.08707415681283
281,2MASS J23224684-3133231,56.0,0.022910112,0.14311857,306.7695254949041
282,2MASS J23225299-6151275,148.0,0.016227996,0.16371117000000002,166.0677287875607
283,2MASS J23515044-2537367,67.0,0.084003744,0.11943707999999999,1615.0920041358872
284,2MASSI J2356547-155310,74.0,0.07636704,0.11222967,1662.905479922297
285,WISE 0005+3737,23.2,,,
286,WISE 0008-1739,87.1,,,
287,WISE 0015-4615,48.6,,,
288,WISE 0031-3840,71.8,,,
289,WISE 0032-4946,62.9,,,
290,WISE 0038+2758,36.9,,,
291,WISE 0038+8405,101.8,,,
292,WISE 0040+0900,47.6,,,
293,WISE 0049+0441,62.6,,,
294,WISE 0049+2151,24.1,,,
295,WISE 0106+1518,142.9,,,
296,WISE 0123+4142,67.2,,,
297,WISE 0135+1715,77.3,,,
298,WISE 0138-0322,57.7,,,
299,WISE 0146+4234,20.5,,,
300,WISE 0148-7202,30.0,,,
301,WISE 0150+3827,61.3,,,
302,WISE 0206+2640,58.4,,,
303,WISE 0221+3842,73.1,,,
304,WISE 0223-2932,47.0,,,
305,WISE 0226-0211,91.0,,,
306,WISE 0241-3653,53.8,,,
307,WISE 0245-3450,56.1,,,
308,WISE 0247+3725,57.1,,,
309,WISE 0305+3954,75.0,,,
310,WISE 0307+2904,82.8,,,
311,WISE 0313+7807,28.0,,,
312,WISE 0316+4307,106.3,,,
313,WISE 0321-7347,84.8,,,
314,WISE 0323-6025,45.3,,,
315,WISE 0325-3854,51.2,,,
316,WISE 0325+0831,36.5,,,
317,WISE 0333-5856,54.8,,,
318,WISE 0335+4310,45.7,,,
319,WISE 0336-0143,55.4,,,
320,WISE 0350-5658,17.7,,,
321,WISE 0359-5401,19.2,,,
322,WISE 0410+1502,20.0,0.005727528,0.12046670999999999,108.24556216829285
323,WISE 0410+1411,85.8,,,
324,WISE 0413-4750,66.2,,,
325,WISE 0448-1935,69.8,,,
326,WISE 0458+6434,35.9,0.014318820000000001,0.4324446,21.00019133392518
327,WISE 0458+6434,35.9,0.00954588,0.3912594,17.102648897988928
328,WISE 0500-1223,47.0,,,
329,WISE 0513+0608,44.7,,,
330,WISE 0525+6739,98.2,,,
331,WISE 0528-3308,57.4,,,
332,WISE 0535-7500,47.0,,,
333,WISE 0539-1034,84.8,,,
334,WISE 0542-1628,50.6,,,
335,WISE 0607+2429,25.4,,,
336,WISE 0611-0410,57.7,,,
337,WISE 0612-4920,95.2,,,
338,WISE 0612-3036,64.9,,,
339,WISE 0614+3912,50.2,,,
340,WISE 0614+0951,51.5,,,
341,WISE 0623-0456,37.5,,,
342,WISE 0625+5646,67.2,,,
343,WISE 0627-1114,37.2,,,
344,WISE 0647-6232,28.0,,,
345,WISE 0656+4205,54.1,,,
346,WISE 0713-2917,23.2,,,
347,WISE 0723+3403,45.7,,,
348,WISE 0733+7544,78.3,,,
349,WISE 0734-7157,34.9,,,
350,WISE 0744+5628,47.3,,,
351,WISE 0750+2725,51.5,,,
352,WISE 0751-7634,39.1,,,
353,WISE 0759-4904,38.8,,,
354,WISE 0811-8051,32.0,,,
355,WISE 0812+4021,63.6,,,
356,WISE 0819-0335,46.0,,,
357,WISE 0821+1443,68.2,,,
358,WISE 0836-1859,72.4,,,
359,WISE 0857+5604,42.1,,,
360,WISE 0906+4735,51.5,,,
361,WISE 0929+0409,64.9,,,
362,WISE 0952+1955,72.1,,,
363,WISE 1018-2445,47.6,,,
364,WISE 1019+6529,56.8,,,
365,WISE 1039-1600,47.3,,,
366,WISE 1042-3842,53.2,,,
367,WISE 1051-2138,40.8,,,
368,WISE 1122+2550,57.7,,,
369,WISE 1124-0421,50.6,,,
370,WISE 1147-2040,102.0,,,
371,WISE 1150+6302,32.9,,,
372,WISE 1217+1626,34.2,0.011455056,,
373,WISE 1217+1626,34.2,0.005727528,,
374,WISE 1225-1013,55.4,,,
375,WISE 1311+0122,44.4,,,
376,WISE 1311+3629,86.1,,,
377,WISE 1318-1758,32.9,,,
378,WISE 1320+6034,56.1,,,
379,WISE 1322-2340,33.9,,,
380,WISE 1348+6603,91.0,,,
381,WISE 1405+5534,25.3,0.028637640000000002,0.08854818,1001.7397921320718
382,WISE 1433-0837,84.8,,,
383,WISE 1436-1814,60.0,,,
384,WISE 1457+5815,52.2,,,
385,WISE 1506+7027,11.1,,,
386,WISE 1517+0529,72.4,,,
387,WISE 1519+7009,50.9,,,
388,WISE 1523+3125,84.5,,,
389,WISE 1541-2250,20.0,,,
390,WISE 1542+2230,41.1,,,
391,WISE 1612-3420,55.4,,,
392,WISE 1614+1739,32.6,,,
393,WISE 1617+1807,50.2,,,
394,WISE 1622-0959,52.2,,,
395,WISE 1627+3255,50.2,,,
396,WISE 1639-6847,16.3,,,
397,WISE 1647+5632,28.0,,,
398,WISE 1653+4444,39.5,,,
399,WISE 1711+3500,60.3,,,
400,WISE 1717+6129,72.7,,,
401,WISE 1721+1117,62.3,,,
402,WISE 1728+5716,97.8,,,
403,WISE 1738+2732,20.0,,,
404,WISE 1741+2553,18.9,,,
405,WISE 1746-0338,83.8,,,
406,WISE 1800+0134,28.7,0.054411516,,
407,WISE 1804+3117,30.0,,,
408,WISE 1809+3838,74.4,,,
409,WISE 1812+2721,47.0,,,
410,WISE 1828+2650,36.0,,,
411,WISE 1830+4542,107.0,,,
412,WISE 1841+7000,131.1,,,
413,WISE 1852+3537,55.4,,,
414,WISE 1906+4508,51.5,,,
415,WISE 1928+2356,22.8,,,
416,WISE 1952+7240,44.4,,,
417,WISE 1959-3338,37.2,,,
418,WISE 2030+0749,34.2,,,
419,WISE 2014+0424,96.2,,,
420,WISE 2015+6646,50.6,,,
421,WISE 2018-7423,47.9,,,
422,WISE 2019-1148,42.4,,,
423,WISE 2056+1459,24.5,,,
424,WISE 2134-7137,42.7,,,
425,WISE 2157+2659,61.6,,,
426,WISE 2209-2734,46.0,,,
427,WISE 2213+0911,58.7,,,
428,WISE 2220-3628,26.4,,,
429,WISE 2226+0440,45.0,,,
430,WISE 2237-0614,53.5,,,
431,WISE 2237+7228,46.0,,,
432,WISE 2239+1617,59.7,,,
433,WISE 2255-3118,44.7,,,
434,WISE 2301+0216,60.7,,,
435,WISE 2313-8037,35.9,,,
436,WISE 2319-1844,52.2,,,
437,WISE 2325-4105,37.5,,,
438,WISE 2327-2730,70.8,,,
439,WISE 2335+4222,90.3,,,
440,WISE 2340-0745,37.8,,,
441,WISE 2342+0856,51.2,,,
442,WISE 2343-7418,48.6,,,
443,WISE 2344+1034,46.0,,,
444,WISE 2348-1028,54.1,,,
445,WISE 2357+1227,54.8,,,
446,WISE 2359-7335,42.7,,,
447,WISEA 1101+5400,111.0,,,
448,2M1510,120.0,,,
